EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",1.2502726316452026,25,1.2841670513153076
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",1.153769850730896,50,1.1142833232879639
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",1.026680827140808,75,1.0417883396148682
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.9500077366828918,100,0.9578672647476196
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.8803593516349792,125,0.8766564130783081
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.7860779166221619,150,0.8012676239013672
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.7287536859512329,175,0.7504226565361023
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.665065586566925,200,0.6601076126098633
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.5802506804466248,225,0.5812104344367981
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.5315872430801392,250,0.5242491960525513
