ANSWER,HEADER,QUESTION,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8863636363636364, 'recall': 0.07296538821328344, 'f1-score': 0.1348314606741573, 'support': 1069}","{'precision': 0.8863636363636364, 'recall': 0.03905858788182273, 'f1-score': 0.07482014388489208, 'support': 1997}","{'precision': 0.29545454545454547, 'recall': 0.02432179607109448, 'f1-score': 0.0449438202247191, 'support': 1997}","{'precision': 0.474473073246233, 'recall': 0.03905858788182273, 'f1-score': 0.0721756792492109, 'support': 1997}",1.7764986753463745,1,2.1350491046905518
"{'precision': 0.7643504531722054, 'recall': 0.3127317676143387, 'f1-score': 0.44385964912280707, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7215053763440861, 'recall': 0.627689429373246, 'f1-score': 0.671335667833917, 'support': 1069}","{'precision': 0.732751784298176, 'recall': 0.4626940410615924, 'f1-score': 0.567219152854512, 'support': 1997}","{'precision': 0.4952852765054305, 'recall': 0.3134737323291949, 'f1-score': 0.37173177231890797, 'support': 1997}","{'precision': 0.6958681842404317, 'recall': 0.4626940410615924, 'f1-score': 0.5391789108937448, 'support': 1997}",1.396138072013855,2,1.2754243612289429
"{'precision': 0.7827586206896552, 'recall': 0.5611866501854141, 'f1-score': 0.6537077033837294, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8451025056947609, 'recall': 0.6941066417212348, 'f1-score': 0.7621982537236774, 'support': 1069}","{'precision': 0.8203017832647462, 'recall': 0.5988983475212819, 'f1-score': 0.6923299565846599, 'support': 1997}","{'precision': 0.542620375461472, 'recall': 0.41843109730221634, 'f1-score': 0.4719686523691356, 'support': 1997}","{'precision': 0.76948738243647, 'recall': 0.5988983475212819, 'f1-score': 0.6728289760981714, 'support': 1997}",1.2198013067245483,3,1.1639404296875
"{'precision': 0.8005822416302766, 'recall': 0.6798516687268232, 'f1-score': 0.7352941176470588, 'support': 809}","{'precision': 0.6666666666666666, 'recall': 0.08403361344537816, 'f1-score': 0.1492537313432836, 'support': 119}","{'precision': 0.8097826086956522, 'recall': 0.8362956033676333, 'f1-score': 0.8228255867464335, 'support': 1069}","{'precision': 0.805094130675526, 'recall': 0.728092138207311, 'f1-score': 0.7646594793584014, 'support': 1997}","{'precision': 0.7590105056641985, 'recall': 0.5333936285132782, 'f1-score': 0.5691244785789252, 'support': 1997}","{'precision': 0.7975272786719476, 'recall': 0.728092138207311, 'f1-score': 0.7472281859981266, 'support': 1997}",0.6328284740447998,4,0.5138639807701111
"{'precision': 0.7859078590785907, 'recall': 0.7169344870210136, 'f1-score': 0.7498383968972204, 'support': 809}","{'precision': 0.6818181818181818, 'recall': 0.12605042016806722, 'f1-score': 0.21276595744680848, 'support': 119}","{'precision': 0.855249745158002, 'recall': 0.784845650140318, 'f1-score': 0.8185365853658537, 'support': 1069}","{'precision': 0.8236645605973578, 'recall': 0.7180771156735103, 'f1-score': 0.7672552166934189, 'support': 1997}","{'precision': 0.7743252620182582, 'recall': 0.5426101857764664, 'f1-score': 0.5937136465699608, 'support': 1997}","{'precision': 0.8168241358061331, 'recall': 0.7180771156735103, 'f1-score': 0.7546089242774757, 'support': 1997}",0.5489345788955688,5,0.5822385549545288
"{'precision': 0.8450920245398773, 'recall': 0.681087762669963, 'f1-score': 0.7542778918548938, 'support': 809}","{'precision': 0.71875, 'recall': 0.19327731092436976, 'f1-score': 0.304635761589404, 'support': 119}","{'precision': 0.8317307692307693, 'recall': 0.8091674462114126, 'f1-score': 0.820293978188715, 'support': 1069}","{'precision': 0.8346867749419954, 'recall': 0.7205808713069605, 'f1-score': 0.7734479978500404, 'support': 1997}","{'precision': 0.7985242645902155, 'recall': 0.561177506601915, 'f1-score': 0.6264025438776709, 'support': 1997}","{'precision': 0.8304110616727357, 'recall': 0.7205808713069605, 'f1-score': 0.7628226003122105, 'support': 1997}",1.2131274938583374,6,0.2486003190279007
"{'precision': 0.8234463276836158, 'recall': 0.7206427688504327, 'f1-score': 0.7686222808174028, 'support': 809}","{'precision': 0.5813953488372093, 'recall': 0.21008403361344538, 'f1-score': 0.30864197530864196, 'support': 119}","{'precision': 0.8183520599250936, 'recall': 0.8175865294667914, 'f1-score': 0.8179691155825926, 'support': 1069}","{'precision': 0.8147333699835074, 'recall': 0.7421131697546319, 'f1-score': 0.7767295597484276, 'support': 1997}","{'precision': 0.7410645788153062, 'recall': 0.5827711106435566, 'f1-score': 0.6317444572362124, 'support': 1997}","{'precision': 0.8062956823573352, 'recall': 0.7421131697546319, 'f1-score': 0.7676278441666493, 'support': 1997}",0.46540939807891846,7,0.3028680384159088
"{'precision': 0.8123028391167192, 'recall': 0.6365883807169345, 'f1-score': 0.7137907137907138, 'support': 809}","{'precision': 0.6226415094339622, 'recall': 0.2773109243697479, 'f1-score': 0.38372093023255816, 'support': 119}","{'precision': 0.8649214659685864, 'recall': 0.7726847521047708, 'f1-score': 0.816205533596838, 'support': 1069}","{'precision': 0.8367844092570037, 'recall': 0.6880320480721082, 'f1-score': 0.7551525144270405, 'support': 1997}","{'precision': 0.7666219381730892, 'recall': 0.5621946857304844, 'f1-score': 0.6379057258733699, 'support': 1997}","{'precision': 0.8291679437098078, 'recall': 0.6880320480721082, 'f1-score': 0.7489450143061501, 'support': 1997}",1.1506417989730835,8,0.1641363501548767
"{'precision': 0.7963917525773195, 'recall': 0.7639060568603214, 'f1-score': 0.7798107255520504, 'support': 809}","{'precision': 0.5892857142857143, 'recall': 0.2773109243697479, 'f1-score': 0.37714285714285717, 'support': 119}","{'precision': 0.8313953488372093, 'recall': 0.8026192703461179, 'f1-score': 0.8167539267015707, 'support': 1069}","{'precision': 0.8095493562231759, 'recall': 0.7556334501752628, 'f1-score': 0.7816627816627816, 'support': 1997}","{'precision': 0.7390242719000811, 'recall': 0.6146120838587291, 'f1-score': 0.6579025031321594, 'support': 1997}","{'precision': 0.8027879598107303, 'recall': 0.7556334501752628, 'f1-score': 0.7755918000078056, 'support': 1997}",0.8174940943717957,9,0.08555048704147339
"{'precision': 0.810738255033557, 'recall': 0.7466007416563659, 'f1-score': 0.7773487773487774, 'support': 809}","{'precision': 0.6065573770491803, 'recall': 0.31092436974789917, 'f1-score': 0.4111111111111111, 'support': 119}","{'precision': 0.8446215139442231, 'recall': 0.7932647333956969, 'f1-score': 0.8181379643029426, 'support': 1069}","{'precision': 0.8226519337016575, 'recall': 0.7456184276414622, 'f1-score': 0.7822432361439454, 'support': 1997}","{'precision': 0.7539723820089869, 'recall': 0.6169299482666539, 'f1-score': 0.6688659509209437, 'support': 1997}","{'precision': 0.8167090508749997, 'recall': 0.7456184276414622, 'f1-score': 0.7773594726776307, 'support': 1997}",0.7094764709472656,10,0.11715957522392273
