ANSWER,HEADER,QUESTION,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.8571428571428571, 'recall': 0.22058823529411764, 'f1-score': 0.3508771929824561, 'support': 816}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7728983688833124, 'recall': 0.5877862595419847, 'f1-score': 0.6677506775067751, 'support': 1048}","{'precision': 0.7904667328699106, 'recall': 0.4014120020171457, 'f1-score': 0.5324414715719064, 'support': 1983}","{'precision': 0.5433470753420565, 'recall': 0.26945816494536745, 'f1-score': 0.33954262349641046, 'support': 1983}","{'precision': 0.761183087250773, 'recall': 0.4014120020171457, 'f1-score': 0.49728618229994176, 'support': 1983}",1.5493096113204956,0,1.7378873825073242
"{'precision': 0.8483333333333334, 'recall': 0.6237745098039216, 'f1-score': 0.7189265536723165, 'support': 816}","{'precision': 0.7142857142857143, 'recall': 0.08403361344537816, 'f1-score': 0.15037593984962405, 'support': 119}","{'precision': 0.8471337579617835, 'recall': 0.7614503816793893, 'f1-score': 0.8020100502512563, 'support': 1048}","{'precision': 0.846401028277635, 'recall': 0.6641452344931922, 'f1-score': 0.7442780446453802, 'support': 1983}","{'precision': 0.8032509351936103, 'recall': 0.4897528349762297, 'f1-score': 0.5571041812577323, 'support': 1983}","{'precision': 0.8396551580151029, 'recall': 0.6641452344931922, 'f1-score': 0.7287167611205406, 'support': 1983}",0.7555404901504517,1,0.8690320253372192
"{'precision': 0.8221649484536082, 'recall': 0.7818627450980392, 'f1-score': 0.8015075376884421, 'support': 816}","{'precision': 0.7647058823529411, 'recall': 0.2184873949579832, 'f1-score': 0.33986928104575165, 'support': 119}","{'precision': 0.844488188976378, 'recall': 0.8187022900763359, 'f1-score': 0.8313953488372093, 'support': 1048}","{'precision': 0.8335158817086528, 'recall': 0.767523953605648, 'f1-score': 0.7991598844841166, 'support': 1983}","{'precision': 0.8104530065943091, 'recall': 0.6063508100441194, 'f1-score': 0.657590722523801, 'support': 1983}","{'precision': 0.8305144830990361, 'recall': 0.767523953605648, 'f1-score': 0.7896000609075182, 'support': 1983}",0.6785717010498047,2,0.8067013025283813
"{'precision': 0.7909535452322738, 'recall': 0.7928921568627451, 'f1-score': 0.791921664626683, 'support': 816}","{'precision': 0.5573770491803278, 'recall': 0.2857142857142857, 'f1-score': 0.37777777777777777, 'support': 119}","{'precision': 0.852589641434263, 'recall': 0.816793893129771, 'f1-score': 0.8343079922027291, 'support': 1048}","{'precision': 0.816250663834307, 'recall': 0.7750882501260716, 'f1-score': 0.7951370926021728, 'support': 1983}","{'precision': 0.7336400786156215, 'recall': 0.6318001119022673, 'f1-score': 0.6680024782023967, 'support': 1983}","{'precision': 0.8095107947479082, 'recall': 0.7750882501260716, 'f1-score': 0.7894696972866309, 'support': 1983}",0.6683833003044128,3,0.5053412318229675
"{'precision': 0.8694992412746586, 'recall': 0.7022058823529411, 'f1-score': 0.7769491525423728, 'support': 816}","{'precision': 0.7083333333333334, 'recall': 0.2857142857142857, 'f1-score': 0.40718562874251496, 'support': 119}","{'precision': 0.861671469740634, 'recall': 0.8559160305343512, 'f1-score': 0.858784107228339, 'support': 1048}","{'precision': 0.8604118993135011, 'recall': 0.7584467977811397, 'f1-score': 0.8062181720718306, 'support': 1983}","{'precision': 0.8131680147828754, 'recall': 0.614612066200526, 'f1-score': 0.6809729628377422, 'support': 1983}","{'precision': 0.8556907452521293, 'recall': 0.7584467977811397, 'f1-score': 0.7980087456733408, 'support': 1983}",0.8248510956764221,4,0.35974767804145813
"{'precision': 0.8245614035087719, 'recall': 0.8063725490196079, 'f1-score': 0.8153655514250309, 'support': 816}","{'precision': 0.673469387755102, 'recall': 0.2773109243697479, 'f1-score': 0.39285714285714285, 'support': 119}","{'precision': 0.8481973434535104, 'recall': 0.8530534351145038, 'f1-score': 0.8506184586108467, 'support': 1048}","{'precision': 0.8337716991057338, 'recall': 0.7992939989914272, 'f1-score': 0.8161688980432543, 'support': 1983}","{'precision': 0.7820760449057947, 'recall': 0.6455789695012866, 'f1-score': 0.6862803842976734, 'support': 1983}","{'precision': 0.827985768202367, 'recall': 0.7992939989914272, 'f1-score': 0.808641671501257, 'support': 1983}",1.9237903356552124,5,0.18152467906475067
"{'precision': 0.8365758754863813, 'recall': 0.7904411764705882, 'f1-score': 0.8128544423440454, 'support': 816}","{'precision': 0.7647058823529411, 'recall': 0.3277310924369748, 'f1-score': 0.4588235294117647, 'support': 119}","{'precision': 0.886, 'recall': 0.8454198473282443, 'f1-score': 0.865234375, 'support': 1048}","{'precision': 0.8616904500548848, 'recall': 0.7917297024710035, 'f1-score': 0.8252299605781865, 'support': 1983}","{'precision': 0.8290939192797743, 'recall': 0.6545307054119358, 'f1-score': 0.71230411558527, 'support': 1983}","{'precision': 0.8583832145218795, 'recall': 0.7917297024710035, 'f1-score': 0.8192914018924565, 'support': 1983}",0.7109310030937195,6,0.4800235629081726
"{'precision': 0.8198992443324937, 'recall': 0.7977941176470589, 'f1-score': 0.808695652173913, 'support': 816}","{'precision': 0.5365853658536586, 'recall': 0.5546218487394958, 'f1-score': 0.5454545454545455, 'support': 119}","{'precision': 0.9117971334068358, 'recall': 0.7891221374045801, 'f1-score': 0.8460358056265986, 'support': 1048}","{'precision': 0.8464912280701754, 'recall': 0.7786182551689359, 'f1-score': 0.811137378513265, 'support': 1983}","{'precision': 0.7560939145309961, 'recall': 0.713846034597045, 'f1-score': 0.7333953344183524, 'support': 1983}","{'precision': 0.8514648702583278, 'recall': 0.7786182551689359, 'f1-score': 0.8126325100250525, 'support': 1983}",0.547077476978302,7,0.1988603174686432
"{'precision': 0.8395860284605433, 'recall': 0.7953431372549019, 'f1-score': 0.81686595342983, 'support': 816}","{'precision': 0.5254237288135594, 'recall': 0.5210084033613446, 'f1-score': 0.5232067510548524, 'support': 119}","{'precision': 0.8923857868020305, 'recall': 0.8387404580152672, 'f1-score': 0.8647319232661093, 'support': 1048}","{'precision': 0.847547974413646, 'recall': 0.8018154311649016, 'f1-score': 0.8240476807463073, 'support': 1983}","{'precision': 0.7524651813587111, 'recall': 0.7183639995438379, 'f1-score': 0.7349348759169305, 'support': 1983}","{'precision': 0.8486373815033509, 'recall': 0.8018154311649016, 'f1-score': 0.8245402304372925, 'support': 1983}",0.6186764240264893,8,0.10527383536100388
"{'precision': 0.8301647655259823, 'recall': 0.8026960784313726, 'f1-score': 0.8161993769470406, 'support': 816}","{'precision': 0.782051282051282, 'recall': 0.5126050420168067, 'f1-score': 0.6192893401015228, 'support': 119}","{'precision': 0.864423076923077, 'recall': 0.857824427480916, 'f1-score': 0.861111111111111, 'support': 1048}","{'precision': 0.8468799160985842, 'recall': 0.8144225920322743, 'f1-score': 0.8303341902313625, 'support': 1983}","{'precision': 0.8255463748334471, 'recall': 0.7243751826430317, 'f1-score': 0.7655332760532249, 'support': 1983}","{'precision': 0.8453827210532974, 'recall': 0.8144225920322743, 'f1-score': 0.8281182892109484, 'support': 1983}",0.5379015207290649,9,0.09113194793462753
