ANSWER,HEADER,QUESTION,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.12837837837837837, 'recall': 0.11627906976744186, 'f1-score': 0.1220295439948619, 'support': 817}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.34539473684210525, 'recall': 0.48746518105849584, 'f1-score': 0.40431266846361186, 'support': 1077}","{'precision': 0.2743362831858407, 'recall': 0.3079980129160457, 'f1-score': 0.2901942429206646, 'support': 2013}","{'precision': 0.1579243717401612, 'recall': 0.2012480836086459, 'f1-score': 0.1754474041528246, 'support': 2013}","{'precision': 0.23689779767217214, 'recall': 0.3079980129160457, 'f1-score': 0.2658434582111834, 'support': 2013}",1.553727149963379,0,1.4908034801483154
"{'precision': 0.5909604519774011, 'recall': 0.6401468788249693, 'f1-score': 0.6145710928319623, 'support': 817}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7662337662337663, 'recall': 0.8217270194986073, 'f1-score': 0.793010752688172, 'support': 1077}","{'precision': 0.6864943929790346, 'recall': 0.6994535519125683, 'f1-score': 0.6929133858267715, 'support': 2013}","{'precision': 0.4523980727370558, 'recall': 0.4872912994411922, 'f1-score': 0.4691939485067114, 'support': 2013}","{'precision': 0.6498005243414321, 'recall': 0.6994535519125683, 'f1-score': 0.6737094701882138, 'support': 2013}",0.9311925172805786,1,0.9009283781051636
"{'precision': 0.8296382730455076, 'recall': 0.8702570379436965, 'f1-score': 0.8494623655913979, 'support': 817}","{'precision': 0.2, 'recall': 0.08403361344537816, 'f1-score': 0.11834319526627221, 'support': 119}","{'precision': 0.7709984152139461, 'recall': 0.903435468895079, 'f1-score': 0.8319794784095766, 'support': 1077}","{'precision': 0.781005071461503, 'recall': 0.8415300546448088, 'f1-score': 0.8101386896221904, 'support': 2013}","{'precision': 0.6002122294198179, 'recall': 0.619242040094718, 'f1-score': 0.5999283464224155, 'support': 2013}","{'precision': 0.7610431009754594, 'recall': 0.8415300546448088, 'f1-score': 0.7968879737565685, 'support': 2013}",0.7256773114204407,2,0.6771766543388367
"{'precision': 0.8475967174677609, 'recall': 0.8849449204406364, 'f1-score': 0.8658682634730539, 'support': 817}","{'precision': 0.35714285714285715, 'recall': 0.29411764705882354, 'f1-score': 0.3225806451612903, 'support': 119}","{'precision': 0.7990506329113924, 'recall': 0.9377901578458682, 'f1-score': 0.862879111490816, 'support': 1077}","{'precision': 0.798194130925508, 'recall': 0.8782911077993045, 'f1-score': 0.8363292336802272, 'support': 2013}","{'precision': 0.6679300691740035, 'recall': 0.7056175751151094, 'f1-score': 0.6837760067083867, 'support': 2013}","{'precision': 0.7926299303610186, 'recall': 0.8782911077993045, 'f1-score': 0.8321521466007389, 'support': 2013}",0.4533569812774658,3,0.20622538030147552
"{'precision': 0.8563151796060255, 'recall': 0.9045287637698899, 'f1-score': 0.8797619047619047, 'support': 817}","{'precision': 0.52, 'recall': 0.2184873949579832, 'f1-score': 0.3076923076923077, 'support': 119}","{'precision': 0.8454312553373186, 'recall': 0.9192200557103064, 'f1-score': 0.8807829181494662, 'support': 1077}","{'precision': 0.8421305182341651, 'recall': 0.8718330849478391, 'f1-score': 0.856724432511594, 'support': 2013}","{'precision': 0.7405821449811146, 'recall': 0.6807454048127265, 'f1-score': 0.6894123768678929, 'support': 2013}","{'precision': 0.8306105135302607, 'recall': 0.8718330849478391, 'f1-score': 0.8464898478156165, 'support': 2013}",0.11970455199480057,4,0.3841226398944855
"{'precision': 0.8901234567901235, 'recall': 0.8824969400244798, 'f1-score': 0.8862937922556853, 'support': 817}","{'precision': 0.52, 'recall': 0.4369747899159664, 'f1-score': 0.4748858447488585, 'support': 119}","{'precision': 0.838135593220339, 'recall': 0.9182915506035283, 'f1-score': 0.876384581302614, 'support': 1077}","{'precision': 0.8430622009569378, 'recall': 0.8753104818678589, 'f1-score': 0.8588837436022423, 'support': 2013}","{'precision': 0.7494196833368209, 'recall': 0.7459210935146582, 'f1-score': 0.7458547394357192, 'support': 2013}","{'precision': 0.8404286627401074, 'recall': 0.8753104818678589, 'f1-score': 0.8566714544763658, 'support': 2013}",0.6534700393676758,5,0.21421918272972107
"{'precision': 0.8914634146341464, 'recall': 0.8947368421052632, 'f1-score': 0.8930971288943189, 'support': 817}","{'precision': 0.5813953488372093, 'recall': 0.42016806722689076, 'f1-score': 0.48780487804878053, 'support': 119}","{'precision': 0.8573943661971831, 'recall': 0.904363974001857, 'f1-score': 0.8802530501581565, 'support': 1077}","{'precision': 0.8594515181194907, 'recall': 0.8718330849478391, 'f1-score': 0.8655980271270036, 'support': 2013}","{'precision': 0.7767510432228463, 'recall': 0.7397562944446703, 'f1-score': 0.7537183523670853, 'support': 2013}","{'precision': 0.8549058065882225, 'recall': 0.8718330849478391, 'f1-score': 0.8622661052234465, 'support': 2013}",0.6844145655632019,6,0.23505815863609314
"{'precision': 0.8663239074550129, 'recall': 0.824969400244798, 'f1-score': 0.845141065830721, 'support': 817}","{'precision': 0.6385542168674698, 'recall': 0.44537815126050423, 'f1-score': 0.5247524752475248, 'support': 119}","{'precision': 0.8526672311600338, 'recall': 0.9350046425255338, 'f1-score': 0.8919397697077058, 'support': 1077}","{'precision': 0.8491674828599413, 'recall': 0.8614008941877794, 'f1-score': 0.8552404438964243, 'support': 2013}","{'precision': 0.7858484518275054, 'recall': 0.7351173980102788, 'f1-score': 0.7539444369286507, 'support': 2013}","{'precision': 0.8455525047974818, 'recall': 0.8614008941877794, 'f1-score': 0.8512394075078756, 'support': 2013}",0.7917426228523254,7,0.3986031115055084
"{'precision': 0.9047619047619048, 'recall': 0.8837209302325582, 'f1-score': 0.8941176470588236, 'support': 817}","{'precision': 0.6116504854368932, 'recall': 0.5294117647058824, 'f1-score': 0.5675675675675675, 'support': 119}","{'precision': 0.8772563176895307, 'recall': 0.9025069637883009, 'f1-score': 0.8897025171624714, 'support': 1077}","{'precision': 0.8745644599303136, 'recall': 0.8728266269249876, 'f1-score': 0.8736946792640478, 'support': 2013}","{'precision': 0.7978895692961095, 'recall': 0.7718798862422472, 'f1-score': 0.7837959105962874, 'support': 2013}","{'precision': 0.8727183001038703, 'recall': 0.8728266269249876, 'f1-score': 0.8724512017742578, 'support': 2013}",0.4747227728366852,8,0.17466241121292114
"{'precision': 0.912718204488778, 'recall': 0.8959608323133414, 'f1-score': 0.9042618900555899, 'support': 817}","{'precision': 0.7058823529411765, 'recall': 0.5042016806722689, 'f1-score': 0.5882352941176471, 'support': 119}","{'precision': 0.863130881094953, 'recall': 0.9368616527390901, 'f1-score': 0.8984861976847729, 'support': 1077}","{'precision': 0.8759727626459144, 'recall': 0.8946845504222554, 'f1-score': 0.8852297861882527, 'support': 2013}","{'precision': 0.8272438128416358, 'recall': 0.7790080552415667, 'f1-score': 0.7969944606193365, 'support': 2013}","{'precision': 0.8739606219605544, 'recall': 0.8946845504222554, 'f1-score': 0.882489617030262, 'support': 2013}",0.6843999028205872,9,0.0978938490152359
