ANSWER,HEADER,QUESTION,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 816}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1048}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1983}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1983}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 1983}",2.0929312705993652,0,2.214292526245117
"{'precision': 1.0, 'recall': 0.08823529411764706, 'f1-score': 0.1621621621621622, 'support': 816}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.6016597510373444, 'recall': 0.4150763358778626, 'f1-score': 0.4912478825522304, 'support': 1048}","{'precision': 0.6377358490566037, 'recall': 0.2556732223903177, 'f1-score': 0.36501079913606915, 'support': 1983}","{'precision': 0.5338865836791148, 'recall': 0.16777054333183652, 'f1-score': 0.21780334823813086, 'support': 1983}","{'precision': 0.7294702062970938, 'recall': 0.2556732223903177, 'f1-score': 0.32635002785630957, 'support': 1983}",1.9812583923339844,1,1.737402081489563
"{'precision': 0.7974358974358975, 'recall': 0.38112745098039214, 'f1-score': 0.5157545605306799, 'support': 816}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7497477295660948, 'recall': 0.708969465648855, 'f1-score': 0.7287886218734674, 'support': 1048}","{'precision': 0.7632150615496017, 'recall': 0.5315179021684316, 'f1-score': 0.6266349583828775, 'support': 1983}","{'precision': 0.5157278756673308, 'recall': 0.3633656388764157, 'f1-score': 0.4148477274680491, 'support': 1983}","{'precision': 0.724378876900131, 'recall': 0.5315179021684316, 'f1-score': 0.5973909213900296, 'support': 1983}",1.4482803344726562,2,1.457391619682312
"{'precision': 0.7955625990491284, 'recall': 0.6151960784313726, 'f1-score': 0.6938493434692468, 'support': 816}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7470747074707471, 'recall': 0.7919847328244275, 'f1-score': 0.7688744789254285, 'support': 1048}","{'precision': 0.764638346727899, 'recall': 0.6717095310136157, 'f1-score': 0.7151677852348993, 'support': 1983}","{'precision': 0.5142124355066252, 'recall': 0.46906027041860004, 'f1-score': 0.48757460746489173, 'support': 1983}","{'precision': 0.7221953475811558, 'recall': 0.6717095310136157, 'f1-score': 0.6918615825440012, 'support': 1983}",1.1994937658309937,3,1.0215975046157837
"{'precision': 0.8064992614475628, 'recall': 0.6691176470588235, 'f1-score': 0.7314132618888145, 'support': 816}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7711487088156723, 'recall': 0.8263358778625954, 'f1-score': 0.7977890373099953, 'support': 1048}","{'precision': 0.7844444444444445, 'recall': 0.7120524457892082, 'f1-score': 0.74649748876553, 'support': 1983}","{'precision': 0.5258826567544117, 'recall': 0.49848450830713964, 'f1-score': 0.5097340997329366, 'support': 1983}","{'precision': 0.7394186808774765, 'recall': 0.7120524457892082, 'f1-score': 0.7226001678276086, 'support': 1983}",0.7176996469497681,4,0.9937136769294739
"{'precision': 0.8101788170563962, 'recall': 0.7218137254901961, 'f1-score': 0.763447828904731, 'support': 816}","{'precision': 1.0, 'recall': 0.008403361344537815, 'f1-score': 0.016666666666666666, 'support': 119}","{'precision': 0.7925531914893617, 'recall': 0.8530534351145038, 'f1-score': 0.8216911764705881, 'support': 1048}","{'precision': 0.7995689655172413, 'recall': 0.7483610690872415, 'f1-score': 0.773117999479031, 'support': 1983}","{'precision': 0.8675773361819193, 'recall': 0.5277568406497459, 'f1-score': 0.5339352240139953, 'support': 1983}","{'precision': 0.8122549971754262, 'recall': 0.7483610690872415, 'f1-score': 0.7494145812711901, 'support': 1983}",0.7253884077072144,5,0.6004509925842285
"{'precision': 0.7919799498746867, 'recall': 0.7745098039215687, 'f1-score': 0.7831474597273853, 'support': 816}","{'precision': 0.8333333333333334, 'recall': 0.04201680672268908, 'f1-score': 0.08000000000000002, 'support': 119}","{'precision': 0.8261296660117878, 'recall': 0.8024809160305344, 'f1-score': 0.8141335914811231, 'support': 1048}","{'precision': 0.8111964873765093, 'recall': 0.7453353504790721, 'f1-score': 0.7768725361366621, 'support': 1983}","{'precision': 0.8171476497399359, 'recall': 0.539669175558264, 'f1-score': 0.5590936837361694, 'support': 1983}","{'precision': 0.8125094280104712, 'recall': 0.7453353504790721, 'f1-score': 0.7573274488198504, 'support': 1983}",2.1356256008148193,6,0.7327084541320801
"{'precision': 0.7735399284862932, 'recall': 0.7953431372549019, 'f1-score': 0.7842900302114802, 'support': 816}","{'precision': 0.8125, 'recall': 0.1092436974789916, 'f1-score': 0.1925925925925926, 'support': 119}","{'precision': 0.8559322033898306, 'recall': 0.7709923664122137, 'f1-score': 0.8112449799196787, 'support': 1048}","{'precision': 0.8171206225680934, 'recall': 0.7413010590015129, 'f1-score': 0.7773664727657326, 'support': 1983}","{'precision': 0.8139907106253745, 'recall': 0.5585264003820357, 'f1-score': 0.5960425342412505, 'support': 1983}","{'precision': 0.8194215989900947, 'recall': 0.7413010590015129, 'f1-score': 0.7630276964835652, 'support': 1983}",0.6309416890144348,7,0.4039192199707031
"{'precision': 0.7672018348623854, 'recall': 0.8198529411764706, 'f1-score': 0.7926540284360188, 'support': 816}","{'precision': 0.6551724137931034, 'recall': 0.15966386554621848, 'f1-score': 0.25675675675675674, 'support': 119}","{'precision': 0.8497512437810946, 'recall': 0.8148854961832062, 'f1-score': 0.8319532391622017, 'support': 1048}","{'precision': 0.8090241343126967, 'recall': 0.7776096822995462, 'f1-score': 0.7930059141167395, 'support': 1983}","{'precision': 0.7573751641455276, 'recall': 0.5981341009686317, 'f1-score': 0.6271213414516591, 'support': 1983}","{'precision': 0.8041056570709394, 'recall': 0.7776096822995462, 'f1-score': 0.7812641129096485, 'support': 1983}",0.9784413576126099,8,0.33528196811676025
"{'precision': 0.8269484808454426, 'recall': 0.7671568627450981, 'f1-score': 0.7959313413858868, 'support': 816}","{'precision': 0.6078431372549019, 'recall': 0.2605042016806723, 'f1-score': 0.36470588235294116, 'support': 119}","{'precision': 0.8401913875598086, 'recall': 0.8377862595419847, 'f1-score': 0.838987099856665, 'support': 1048}","{'precision': 0.8283864004317323, 'recall': 0.7740796772566818, 'f1-score': 0.8003128258602711, 'support': 1983}","{'precision': 0.7583276685533843, 'recall': 0.6218157746559184, 'f1-score': 0.6665414411984977, 'support': 1983}","{'precision': 0.8207987230791194, 'recall': 0.7740796772566818, 'f1-score': 0.7928080964299893, 'support': 1983}",0.640014111995697,9,0.2895049452781677
