EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.9363600015640259,93,0.9849572777748108
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.6464584469795227,186,0.6552055478096008
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.3424186110496521,279,0.41835230588912964
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.217601478099823,372,0.2896450161933899
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 672}",0.21206742525100708,465,0.16249994933605194
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 134}","{'precision': 0.8958333333333334, 'recall': 0.5707964601769911, 'f1-score': 0.6972972972972973, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8958333333333334, 'recall': 0.38392857142857145, 'f1-score': 0.5375, 'support': 672}","{'precision': 0.22395833333333334, 'recall': 0.1426991150442478, 'f1-score': 0.17432432432432432, 'support': 672}","{'precision': 0.6025545634920635, 'recall': 0.38392857142857145, 'f1-score': 0.46901544401544404, 'support': 672}",0.10518234223127365,558,0.12791211903095245
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.7171717171717171, 'recall': 0.5298507462686567, 'f1-score': 0.6094420600858368, 'support': 134}","{'precision': 0.9657142857142857, 'recall': 0.37389380530973454, 'f1-score': 0.5390749601275918, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8759124087591241, 'recall': 0.35714285714285715, 'f1-score': 0.507399577167019, 'support': 672}","{'precision': 0.4207215007215007, 'recall': 0.22593613789459782, 'f1-score': 0.2871292550533572, 'support': 672}","{'precision': 0.7925652786367072, 'recall': 0.35714285714285715, 'f1-score': 0.48411773516246076, 'support': 672}",0.09871704876422882,651,0.07762585580348969
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 54}","{'precision': 0.7477477477477478, 'recall': 0.6194029850746269, 'f1-score': 0.6775510204081633, 'support': 134}","{'precision': 0.9068493150684932, 'recall': 0.7323008849557522, 'f1-score': 0.810281517747858, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8697478991596639, 'recall': 0.6160714285714286, 'f1-score': 0.7212543554006969, 'support': 672}","{'precision': 0.41364926570406024, 'recall': 0.33792596750759474, 'f1-score': 0.3719581345390053, 'support': 672}","{'precision': 0.7590685842398172, 'recall': 0.6160714285714286, 'f1-score': 0.6801176826736989, 'support': 672}",0.08993610739707947,744,0.07508130371570587
"{'precision': 0.8666666666666667, 'recall': 0.24074074074074073, 'f1-score': 0.37681159420289856, 'support': 54}","{'precision': 0.7532467532467533, 'recall': 0.8656716417910447, 'f1-score': 0.8055555555555556, 'support': 134}","{'precision': 0.8987341772151899, 'recall': 0.7853982300884956, 'f1-score': 0.8382526564344747, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8581560283687943, 'recall': 0.7202380952380952, 'f1-score': 0.7831715210355987, 'support': 672}","{'precision': 0.6296618992821524, 'recall': 0.4729526531550703, 'f1-score': 0.5051549515482322, 'support': 672}","{'precision': 0.8243495729707303, 'recall': 0.7202380952380952, 'f1-score': 0.7547358202972969, 'support': 672}",0.06901521235704422,837,0.06028998643159866
"{'precision': 1.0, 'recall': 0.037037037037037035, 'f1-score': 0.07142857142857142, 'support': 54}","{'precision': 0.9130434782608695, 'recall': 0.7835820895522388, 'f1-score': 0.8433734939759036, 'support': 134}","{'precision': 0.9481268011527377, 'recall': 0.7278761061946902, 'f1-score': 0.823529411764706, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.9396551724137931, 'recall': 0.6488095238095238, 'f1-score': 0.767605633802817, 'support': 672}","{'precision': 0.7152925698534018, 'recall': 0.38712380819599157, 'f1-score': 0.4345828692922952, 'support': 672}","{'precision': 0.9001505062618956, 'recall': 0.6488095238095238, 'f1-score': 0.7278340553088706, 'support': 672}",0.07196715474128723,930,0.04957308620214462
"{'precision': 0.625, 'recall': 0.37037037037037035, 'f1-score': 0.4651162790697674, 'support': 54}","{'precision': 0.9316239316239316, 'recall': 0.8134328358208955, 'f1-score': 0.8685258964143427, 'support': 134}","{'precision': 0.9060913705583756, 'recall': 0.7898230088495575, 'f1-score': 0.8439716312056736, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8950276243093923, 'recall': 0.7232142857142857, 'f1-score': 0.8, 'support': 672}","{'precision': 0.6156788255455768, 'recall': 0.49340655376020587, 'f1-score': 0.544403451672446, 'support': 672}","{'precision': 0.8454477772767748, 'recall': 0.7232142857142857, 'f1-score': 0.7782350096640682, 'support': 672}",0.02672043815255165,1023,0.03225729614496231
"{'precision': 0.6388888888888888, 'recall': 0.42592592592592593, 'f1-score': 0.5111111111111111, 'support': 54}","{'precision': 0.8692307692307693, 'recall': 0.8432835820895522, 'f1-score': 0.8560606060606062, 'support': 134}","{'precision': 0.9003215434083601, 'recall': 0.6194690265486725, 'f1-score': 0.7339449541284403, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8721174004192872, 'recall': 0.6190476190476191, 'f1-score': 0.7241079199303743, 'support': 672}","{'precision': 0.6021103003820045, 'recall': 0.4721696336410377, 'f1-score': 0.5252791678250394, 'support': 672}","{'precision': 0.8302414593712824, 'recall': 0.6190476190476191, 'f1-score': 0.7054393459496671, 'support': 672}",0.07818518579006195,1116,0.048179641366004944
"{'precision': 0.5897435897435898, 'recall': 0.42592592592592593, 'f1-score': 0.49462365591397855, 'support': 54}","{'precision': 0.9008264462809917, 'recall': 0.8134328358208955, 'f1-score': 0.8549019607843137, 'support': 134}","{'precision': 0.8995098039215687, 'recall': 0.8119469026548672, 'f1-score': 0.8534883720930233, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8785211267605634, 'recall': 0.7425595238095238, 'f1-score': 0.8048387096774194, 'support': 672}","{'precision': 0.5975199599865375, 'recall': 0.5128264161004221, 'f1-score': 0.550753497197829, 'support': 672}","{'precision': 0.8320466205660056, 'recall': 0.7425595238095238, 'f1-score': 0.7842906017120526, 'support': 672}",0.04156102240085602,1209,0.032861217856407166
"{'precision': 0.5526315789473685, 'recall': 0.3888888888888889, 'f1-score': 0.4565217391304348, 'support': 54}","{'precision': 0.8175675675675675, 'recall': 0.9029850746268657, 'f1-score': 0.8581560283687943, 'support': 134}","{'precision': 0.8860465116279069, 'recall': 0.8429203539823009, 'f1-score': 0.8639455782312926, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.849025974025974, 'recall': 0.7782738095238095, 'f1-score': 0.812111801242236, 'support': 672}","{'precision': 0.5640614145357108, 'recall': 0.5336985793745139, 'f1-score': 0.5446558364326304, 'support': 672}","{'precision': 0.8034065216860504, 'recall': 0.7782738095238095, 'f1-score': 0.7889114331473307, 'support': 672}",0.03962686285376549,1302,0.030316505581140518
"{'precision': 0.5555555555555556, 'recall': 0.46296296296296297, 'f1-score': 0.505050505050505, 'support': 54}","{'precision': 0.8592592592592593, 'recall': 0.8656716417910447, 'f1-score': 0.862453531598513, 'support': 134}","{'precision': 0.915, 'recall': 0.8097345132743363, 'f1-score': 0.8591549295774649, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8741379310344828, 'recall': 0.7544642857142857, 'f1-score': 0.8099041533546326, 'support': 672}","{'precision': 0.5824537037037038, 'recall': 0.534592279507086, 'f1-score': 0.5566647415566207, 'support': 672}","{'precision': 0.8314296737213405, 'recall': 0.7544642857142857, 'f1-score': 0.7904457271963425, 'support': 672}",0.017161965370178223,1395,0.019654355943202972
"{'precision': 0.6052631578947368, 'recall': 0.42592592592592593, 'f1-score': 0.5, 'support': 54}","{'precision': 0.8137931034482758, 'recall': 0.8805970149253731, 'f1-score': 0.8458781362007167, 'support': 134}","{'precision': 0.8671328671328671, 'recall': 0.8230088495575221, 'f1-score': 0.8444948921679909, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8382352941176471, 'recall': 0.7633928571428571, 'f1-score': 0.7990654205607477, 'support': 672}","{'precision': 0.57154728211897, 'recall': 0.5323829476022053, 'f1-score': 0.5475932570921769, 'support': 672}","{'precision': 0.7941615213280367, 'recall': 0.7633928571428571, 'f1-score': 0.7768740498673036, 'support': 672}",0.038946732878685,1488,0.02250295877456665
"{'precision': 0.782608695652174, 'recall': 0.3333333333333333, 'f1-score': 0.46753246753246747, 'support': 54}","{'precision': 0.8540145985401459, 'recall': 0.8731343283582089, 'f1-score': 0.8634686346863468, 'support': 134}","{'precision': 0.8918205804749341, 'recall': 0.7477876106194691, 'f1-score': 0.8134777376654634, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8775510204081632, 'recall': 0.7038690476190477, 'f1-score': 0.7811725846407928, 'support': 672}","{'precision': 0.6321109686668135, 'recall': 0.48856381807775284, 'f1-score': 0.5361197099710695, 'support': 672}","{'precision': 0.833038285928969, 'recall': 0.7038690476190477, 'f1-score': 0.7569099519635613, 'support': 672}",0.047119271010160446,1581,0.025831561535596848
"{'precision': 0.5, 'recall': 0.7037037037037037, 'f1-score': 0.5846153846153846, 'support': 54}","{'precision': 0.8428571428571429, 'recall': 0.8805970149253731, 'f1-score': 0.8613138686131387, 'support': 134}","{'precision': 0.8804878048780488, 'recall': 0.7986725663716814, 'f1-score': 0.8375870069605569, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.8258785942492013, 'recall': 0.7693452380952381, 'f1-score': 0.7966101694915254, 'support': 672}","{'precision': 0.5558362369337979, 'recall': 0.5957433212501896, 'f1-score': 0.5708790650472702, 'support': 672}","{'precision': 0.800481168076987, 'recall': 0.7693452380952381, 'f1-score': 0.7821050837939926, 'support': 672}",0.0430406853556633,1674,0.013903062790632248
"{'precision': 0.5686274509803921, 'recall': 0.5370370370370371, 'f1-score': 0.5523809523809524, 'support': 54}","{'precision': 0.8273381294964028, 'recall': 0.8582089552238806, 'f1-score': 0.8424908424908425, 'support': 134}","{'precision': 0.8629213483146068, 'recall': 0.8495575221238938, 'f1-score': 0.8561872909698997, 'support': 452}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 32}","{'precision': 0.831496062992126, 'recall': 0.7857142857142857, 'f1-score': 0.8079571537872992, 'support': 672}","{'precision': 0.5647217321978504, 'recall': 0.5612008785962028, 'f1-score': 0.5627647714604236, 'support': 672}","{'precision': 0.7910857755114009, 'recall': 0.7857142857142857, 'f1-score': 0.7882723211915758, 'support': 672}",0.01063939742743969,1767,0.0124227749183774
