ANSWER,HEADER,QUESTION,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.5287356321839081, 'recall': 0.043233082706766915, 'f1-score': 0.07993049522154647, 'support': 1064}","{'precision': 0.5287356321839081, 'recall': 0.023092369477911646, 'f1-score': 0.04425204425204426, 'support': 1992}","{'precision': 0.17624521072796936, 'recall': 0.014411027568922305, 'f1-score': 0.026643498407182154, 'support': 1992}","{'precision': 0.28241702441951716, 'recall': 0.023092369477911646, 'f1-score': 0.04269379865247261, 'support': 1992}",2.106034517288208,0,2.2672033309936523
"{'precision': 0.7558139534883721, 'recall': 0.16069221260815822, 'f1-score': 0.2650356778797146, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.6663785652549697, 'recall': 0.724624060150376, 'f1-score': 0.6942818550202612, 'support': 1064}","{'precision': 0.6779533483822423, 'recall': 0.4523092369477912, 'f1-score': 0.5426076482987052, 'support': 1992}","{'precision': 0.4740641729144473, 'recall': 0.29510542425284475, 'f1-score': 0.3197725109666586, 'support': 1992}","{'precision': 0.662891707732621, 'recall': 0.4523092369477912, 'f1-score': 0.47847879374811597, 'support': 1992}",1.7245057821273804,1,1.951681137084961
"{'precision': 0.8061538461538461, 'recall': 0.6477132262051916, 'f1-score': 0.7183002056202878, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7079419299743809, 'recall': 0.7791353383458647, 'f1-score': 0.741834451901566, 'support': 1064}","{'precision': 0.742998352553542, 'recall': 0.6792168674698795, 'f1-score': 0.7096774193548386, 'support': 1992}","{'precision': 0.5046985920427424, 'recall': 0.4756161881836854, 'f1-score': 0.48671155250728465, 'support': 1992}","{'precision': 0.705536483449399, 'recall': 0.6792168674698795, 'f1-score': 0.687960202394618, 'support': 1992}",1.6538575887680054,2,1.570702075958252
"{'precision': 0.8128342245989305, 'recall': 0.7515451174289246, 'f1-score': 0.7809890815671163, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8014705882352942, 'recall': 0.8195488721804511, 'f1-score': 0.8104089219330856, 'support': 1064}","{'precision': 0.8061002178649237, 'recall': 0.7429718875502008, 'f1-score': 0.7732497387669802, 'support': 1992}","{'precision': 0.5381016042780749, 'recall': 0.5236979965364585, 'f1-score': 0.5304660011667339, 'support': 1992}","{'precision': 0.7582066232845822, 'recall': 0.7429718875502008, 'f1-score': 0.7500478212472893, 'support': 1992}",1.3816050291061401,3,1.3318032026290894
"{'precision': 0.8091603053435115, 'recall': 0.7861557478368356, 'f1-score': 0.7974921630094043, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8493975903614458, 'recall': 0.7951127819548872, 'f1-score': 0.8213592233009709, 'support': 1064}","{'precision': 0.8316498316498316, 'recall': 0.7439759036144579, 'f1-score': 0.7853736089030207, 'support': 1992}","{'precision': 0.5528526319016525, 'recall': 0.5270895099305742, 'f1-score': 0.539617128770125, 'support': 1992}","{'precision': 0.7823141180559634, 'recall': 0.7439759036144579, 'f1-score': 0.7625990830656832, 'support': 1992}",1.3800595998764038,4,1.1642988920211792
"{'precision': 0.7833333333333333, 'recall': 0.8133498145859085, 'f1-score': 0.79805942995755, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8071111111111111, 'recall': 0.8533834586466166, 'f1-score': 0.8296025582457743, 'support': 1064}","{'precision': 0.7969465648854962, 'recall': 0.786144578313253, 'f1-score': 0.7915087187263078, 'support': 1992}","{'precision': 0.5301481481481481, 'recall': 0.5555777577441751, 'f1-score': 0.5425539960677748, 'support': 1992}","{'precision': 0.7492383980365909, 'recall': 0.786144578313253, 'f1-score': 0.7672325305266876, 'support': 1992}",1.245179533958435,5,1.1030558347702026
"{'precision': 0.818297331639136, 'recall': 0.796044499381953, 'f1-score': 0.8070175438596492, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8506616257088847, 'recall': 0.8458646616541353, 'f1-score': 0.8482563619227145, 'support': 1064}","{'precision': 0.8368563685636856, 'recall': 0.7751004016064257, 'f1-score': 0.8047954130831378, 'support': 1992}","{'precision': 0.5563196524493402, 'recall': 0.5473030536786961, 'f1-score': 0.5517579685941212, 'support': 1992}","{'precision': 0.7867000557481497, 'recall': 0.7751004016064257, 'f1-score': 0.7808343183073415, 'support': 1992}",1.1572645902633667,6,1.018510103225708
"{'precision': 0.8098765432098766, 'recall': 0.8108776266996292, 'f1-score': 0.8103767757875231, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.8227513227513228, 'recall': 0.8768796992481203, 'f1-score': 0.8489535941765242, 'support': 1064}","{'precision': 0.8173868312757202, 'recall': 0.7976907630522089, 'f1-score': 0.8074186991869919, 'support': 1992}","{'precision': 0.5442092886537332, 'recall': 0.5625857753159165, 'f1-score': 0.553110123321349, 'support': 1992}","{'precision': 0.7683722544498983, 'recall': 0.7976907630522089, 'f1-score': 0.7825710019156265, 'support': 1992}",1.4324681758880615,7,0.9607027173042297
"{'precision': 0.8160200250312891, 'recall': 0.8059332509270705, 'f1-score': 0.8109452736318408, 'support': 809}","{'precision': 0.9090909090909091, 'recall': 0.16806722689075632, 'f1-score': 0.2836879432624114, 'support': 119}","{'precision': 0.8541468064823642, 'recall': 0.8421052631578947, 'f1-score': 0.8480832938949362, 'support': 1064}","{'precision': 0.8385026737967914, 'recall': 0.7871485943775101, 'f1-score': 0.8120145002589333, 'support': 1992}","{'precision': 0.8597525802015208, 'recall': 0.6053685803252405, 'f1-score': 0.6475721702630629, 'support': 1992}","{'precision': 0.8419448898239792, 'recall': 0.7871485943775101, 'f1-score': 0.7992842451408625, 'support': 1992}",1.1253244876861572,8,1.0260621309280396
"{'precision': 0.8454172366621067, 'recall': 0.7639060568603214, 'f1-score': 0.8025974025974026, 'support': 809}","{'precision': 0.7714285714285715, 'recall': 0.226890756302521, 'f1-score': 0.35064935064935066, 'support': 119}","{'precision': 0.8280141843971631, 'recall': 0.8778195488721805, 'f1-score': 0.8521897810218978, 'support': 1064}","{'precision': 0.8336853220696938, 'recall': 0.7926706827309237, 'f1-score': 0.8126608337622234, 'support': 1992}","{'precision': 0.8149533308292805, 'recall': 0.622872120678341, 'f1-score': 0.668478844756217, 'support': 1992}","{'precision': 0.8317016248284267, 'recall': 0.7926706827309237, 'f1-score': 0.802087599616401, 'support': 1992}",1.1006548404693604,9,0.8767065405845642
"{'precision': 0.831151832460733, 'recall': 0.7849196538936959, 'f1-score': 0.8073744437380801, 'support': 809}","{'precision': 0.7045454545454546, 'recall': 0.2605042016806723, 'f1-score': 0.3803680981595093, 'support': 119}","{'precision': 0.844131455399061, 'recall': 0.8449248120300752, 'f1-score': 0.8445279473931424, 'support': 1064}","{'precision': 0.8355579284570208, 'recall': 0.7856425702811245, 'f1-score': 0.8098318240620956, 'support': 1992}","{'precision': 0.7932762474684162, 'recall': 0.6301162225348145, 'f1-score': 0.677423496430244, 'support': 1992}","{'precision': 0.8305213906105637, 'recall': 0.7856425702811245, 'f1-score': 0.8017105746442731, 'support': 1992}",1.0879112482070923,10,0.8246411681175232
